STN,YYYYMMDD,FHX,FHN,FXX
270,20151225,120,30,190
270,20151226,120,70,180
270,20151227,90,10,140
270,20151228,70,20,110
270,20151229,70,40,120
270,20151230,90,40,150
270,20151231,90,40,150
319,20150101,100,30,160
319,20150102,100,40,170
319,20150103,60,20,110
319,20150104,40,20,60
319,20150105,50,20,80
319,20150106,70,20,120
319,20150107,70,20,120
319,20150108,90,50,150
319,20150109,130,70,210
319,20150110,140,40,220
319,20150111,110,50,170
319,20150112,110,60,190
319,20150113,110,40,200
319,20150114,100,40,160
319,20150115,140,60,220
319,20150116,90,30,150
319,20150117,70,20,120
319,20150118,70,10,110
319,20150119,20,10,40
319,20150120,20,10,40
319,20150121,30,20,50
319,20150122,50,20,80
319,20150123,40,0,70
319,20150124,80,20,130
319,20150125,60,30,90
319,20150126,60,30,100
319,20150127,50,30,80
319,20150128,120,50,200
319,20150129,100,30,150
319,20150130,50,20,130
319,20150131,50,20,80
319,20150201,100,30,150
319,20150202,70,30,110
319,20150203,30,10,90
319,20150204,40,10,120
319,20150205,80,10,120
319,20150206,100,50,140
319,20150207,60,20,110
319,20150208,80,30,130
319,20150209,50,10,70
319,20150210,30,10,70
319,20150211,30,10,60
319,20150212,30,0,50
319,20150213,80,20,160
319,20150214,40,20,90
319,20150215,40,0,60
319,20150216,40,0,70
319,20150217,60,10,100
319,20150218,40,10,60
319,20150219,90,40,140
319,20150220,90,40,150
319,20150221,60,20,90
319,20150222,110,20,200
319,20150223,110,50,170
319,20150224,90,40,160
319,20150225,50,10,90
319,20150226,80,20,140
319,20150227,70,20,100
319,20150228,100,20,180
319,20150301,100,60,170
319,20150302,120,40,200
319,20150303,100,40,180
319,20150304,90,30,130
319,20150305,50,10,80
319,20150306,50,20,80
319,20150307,70,30,120
319,20150308,50,30,90
319,20150309,50,10,90
319,20150310,50,10,80
319,20150311,40,10,70
319,20150312,50,10,90
319,20150313,60,10,100
319,20150314,70,40,100
319,20150315,60,30,90
319,20150316,40,0,70
319,20150317,40,0,60
319,20150318,70,20,100
319,20150319,50,10,90
319,20150320,40,10,60
319,20150321,90,30,140
319,20150322,60,10,90
319,20150323,50,0,70
319,20150324,40,10,60
319,20150325,70,10,100
319,20150326,90,20,150
319,20150327,70,10,110
319,20150328,110,20,170
319,20150329,160,60,240
319,20150330,130,40,190
319,20150331,160,90,260
319,20150401,130,60,200
319,20150402,100,10,150
319,20150403,50,10,90
319,20150404,70,10,110
319,20150405,60,10,70
319,20150406,30,0,40
319,20150407,50,0,70
319,20150408,30,0,70
319,20150409,40,0,70
319,20150410,30,0,70
319,20150411,100,10,160
319,20150412,90,20,150
319,20150413,50,0,80
319,20150414,80,20,130
319,20150415,60,10,100
319,20150416,80,20,110
319,20150417,80,50,120
319,20150418,70,30,120
319,20150419,60,10,80
319,20150420,70,20,100
319,20150421,70,10,100
319,20150422,60,10,90
319,20150423,40,0,70
319,20150424,60,0,100
319,20150425,70,20,110
319,20150426,50,20,80
319,20150427,70,10,110
319,20150428,90,10,140
319,20150429,80,20,140
319,20150430,70,10,120
319,20150501,80,10,110
319,20150502,40,10,80
319,20150503,80,20,120
319,20150504,60,20,110
319,20150505,140,30,230
319,20150506,130,60,220
319,20150507,80,10,130
319,20150508,50,10,90
319,20150509,110,20,180
319,20150510,40,10,80
319,20150511,60,10,110
319,20150512,80,20,130
319,20150513,60,10,80
319,20150514,50,0,80
319,20150515,70,10,110
319,20150516,60,0,100
319,20150517,60,0,90
319,20150518,80,30,150
319,20150519,100,50,160
319,20150520,70,20,110
319,20150521,70,0,110
319,20150522,50,10,70
319,20150523,60,20,90
319,20150524,50,0,70
319,20150525,70,10,120
319,20150526,50,10,90
319,20150527,60,10,100
319,20150528,80,40,130
319,20150529,90,30,150
319,20150530,70,20,150
319,20150531,80,20,130
319,20150601,60,20,100
319,20150602,100,60,180
319,20150603,80,0,150
319,20150604,40,0,80
319,20150605,60,10,140
319,20150606,50,20,90
319,20150607,60,10,100
319,20150608,90,20,150
319,20150609,80,30,120
319,20150610,70,30,120
319,20150611,50,30,100
319,20150612,50,20,110
319,20150613,90,30,140
319,20150614,50,10,80
319,20150615,70,30,130
319,20150616,50,10,90
